ЗАДАНИЕ 8 (ГРАММАТИЧЕСКИЕ НОРМЫ) - ОТВЕТЫ ИЗ БАНКА ФИПИ

ОТВЕТЫ (1-90):
1: пятьдесятью
2: обеим
3: пламени
4: абрикосов
5: сбережет
6: шестисот
7: шестидесяти
8: платьев
9: ляг
10: хлещут
11: жжется
12: носков
13: бананов
14: заглох
15: месяцы
16: Власовым
17: семисот
18: полутораста
19: промок
20: двумстам
21: круче
22: звонче
23: сотен
24: мускулов
25: полутора
26: катера
27: ста
28: четыремстам
29: сильнее
30: помидоров

31: мельче
32: семьюдесятью
33: исчез
34: вафель
35: аэрозолем
36: башен
37: глубже
38: попробуем
39: засох
40: обеих
41: джинсов
42: плеч
43: тюлем
44: сидений
45: гуляний
46: двухсот
47: туфель
48: трехстах
49: ярче
50: солений
51: чипсов
52: директора
53: пятисот
54: контейнеры
55: ездите
56: обоих
57: тоньше
58: басен
59: четырехстах
60: девятисот
61: гербы
62: четырехстах
63: кондитеры
64: варежек
65: бодрствует
66: твёрже
67: короче
68: клубничное
69: трехсот
70: семистах
71: бухгалтеры
72: черешен (или черешни)
73: ниже
74: пылесошу / пылесосю
75: предгорий
76: стога
77: плачут
78: макарон
79: полутора
80: прячутся
81: семидесяти
82: четырехсот
83: побережий
84: пятисот
85: стрекочет
86: солжете
87: проник
88: сотрем
89: двумястами
90: двумястами
